model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,kafka_streaming,flink_ops,spark_sla,retention_compliance,s3_tiering,build_vs_buy,soc2_compat,onboarding_screens,progressive_disclosure,365day_cost
gpt-4.1-mini,openai,0.25,coord_first,12,931,2793,4096,0.8,0.8,4025,632,0.0026211999999999997,7032.996416994138,1,1,1,1,1,0,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,10,931,2793,4096,0.9,0.9,4025,65,0.001714,2076.3666670100065,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,reason_first,11,3351,373,4096,0.9,0.9,4055,65,0.001726,1153.7913749925792,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,coord_first,10,2793,931,4096,0.9,0.9,4049,65,0.0017236,1032.767334007076,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,coord_first,11,2793,931,4096,1.0,1.0,4049,65,0.0017236,1123.5442909965059,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,10,1862,1862,4096,0.9,0.9,4035,65,0.001718,1180.6348749960307,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,11,931,2793,4096,0.9,0.9,4025,65,0.001714,1308.0518339993432,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,reason_first,12,2793,931,4096,0.9,0.9,4050,65,0.001724,1159.1004170040833,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,reason_first,8,0,3724,4096,0.8,0.8,4016,65,0.0017104000000000002,1111.9789999938803,1,1,1,0,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,coord_first,12,2793,931,4096,0.9,0.9,4049,65,0.0017236,1469.544292005594,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,reason_first,13,1862,1862,4096,1.0,1.0,4035,65,0.001718,1422.378999995999,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,11,3351,373,4096,0.9,0.9,4055,65,0.001726,1316.5490000101272,1,1,1,1,1,1,1,1,1,0
