model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,kafka_streaming,flink_ops,spark_sla,retention_compliance,s3_tiering,build_vs_buy,soc2_compat,onboarding_screens,progressive_disclosure,365day_cost
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,12,3351,373,4096,0.8,0.8,4693,574,0.0060504,6836.885374999838,1,1,1,0,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,11,1862,1862,4096,0.0,0.0,4497,522,0.005685600000000001,6257.992041995749,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,8,931,2793,4096,0.8,0.8,4370,527,0.005604,6811.370750001515,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,6,0,3724,4096,0.9,0.9,4247,414,0.0050536,4194.314458000008,1,1,1,0,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,9,2793,931,4096,0.8,0.8,4607,506,0.0057096000000000004,6486.327166989213,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,9,931,2793,4096,0.8,0.8,4370,589,0.005852,7158.38729099778,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,9,931,2793,4096,0.9,0.9,4370,589,0.005852,5967.625292003504,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,7,2793,931,4096,0.7,0.7,4607,541,0.0058496,6849.194666996482,1,0,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,10,931,2793,4096,0.0,0.0,4370,448,0.005288,6428.318624995882,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,11,931,2793,4096,0.0,0.0,4370,518,0.005568,6728.082290996099,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,10,931,2793,4096,0.9,0.9,4370,583,0.005828,5924.89054199541,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,11,931,2793,4096,0.8,0.8,4370,472,0.005384,5721.354416993563,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,13,3351,373,4096,0.0,0.0,4693,600,0.0061544,7667.670916998759,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,12,931,2793,4096,0.0,0.0,4370,518,0.005568,7566.89429198741,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,7,0,3724,4096,0.9,0.9,4247,391,0.0049616,3846.4634160045534,1,1,1,0,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,8,0,3724,4096,0.9,0.9,4247,376,0.004901600000000001,4381.777250004234,1,1,1,0,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,12,1862,1862,4096,0.0,0.0,4497,517,0.005665600000000001,6621.9735000049695,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,9,0,3724,4096,0.8,0.8,4247,390,0.0049576,3954.9610409885645,1,1,1,0,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,13,931,2793,4096,0.0,0.0,4370,434,0.005232,12286.41383300419,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,13,1862,1862,4096,0.4,0.4,4497,443,0.0053696,5600.296333999722,0,0,1,0,1,0,1,0,1,0
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,14,1862,1862,4096,0.9,0.9,4497,476,0.005501600000000001,5634.772542005521,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,10,0,3724,4096,0.9,0.9,4247,409,0.0050336,3985.484374992666,1,1,1,0,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,8,2793,931,4096,0.0,0.0,4607,519,0.0057616,6787.587124999845,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,12,931,2793,4096,0.9,0.9,4370,527,0.005604,5231.09945798933,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,14,3351,373,4096,0.9,0.9,4693,577,0.0060624,10916.158791005728,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,7,3351,373,4096,0.0,0.0,4693,459,0.0055904,6533.521290999488,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,9,0,3724,4096,0.8,0.8,4247,379,0.004913600000000001,3622.0487499958836,1,1,1,0,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,8,3351,373,4096,0.8,0.8,4693,590,0.0061144,6959.789041997283,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,11,0,3724,4096,0.9,0.9,4247,410,0.005037600000000001,3651.969792001182,1,1,1,0,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,9,2793,931,4096,0.0,0.0,4607,427,0.0053936,5437.863750004908,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,9,1862,1862,4096,0.8,0.8,4497,533,0.0057296000000000005,5928.816083003767,1,1,1,0,1,1,1,1,1,0
