model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gpt-4.1-mini,openai,0.98,reason_first,11,3683,76,4096,0.5,0.5,4098,1024,0.0032776000000000003,22933.508125000117,0,1,0,0,0,0,1,1,1,1
gpt-4.1-mini,openai,0.98,reason_first,12,3683,76,4096,0.4,0.375,4098,940,0.0031431999999999996,18707.090124999922,0,1,0,0,0,0,1,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,13,3533,226,4096,0.4,0.375,4098,987,0.0032184,24868.350374999864,0,1,1,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,14,3533,226,4096,0.4,0.375,4098,930,0.0031271999999999997,17803.69620800002,0,1,1,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.96,coord_first,10,3608,151,4096,0.3,0.25,4096,927,0.0031216000000000004,22020.20116599988,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.96,coord_first,11,3608,151,4096,0.3,0.25,4096,1024,0.0032768000000000003,30285.609999999906,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.98,coord_first,14,3683,76,4096,0.4,0.375,4098,923,0.003116,19566.92962499983,0,1,1,0,0,1,0,1,0,0
gpt-4.1-mini,openai,0.96,coord_first,12,3608,151,4096,0.3,0.25,4096,1006,0.003248,19385.6135420001,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.96,reason_first,9,3608,151,4096,0.3,0.25,4096,1024,0.0032768000000000003,19790.777917000014,0,1,1,0,0,0,0,1,0,0
gpt-4.1-mini,openai,0.96,coord_first,13,3608,151,4096,0.4,0.375,4096,1024,0.0032768000000000003,25941.495999999916,0,1,1,0,0,0,1,0,0,1
